STATION_NAME,WATERBODY_NAME,STATION_DESC,HUC_CD,ACTIVITY_NO,ACTIVITY_END_DATE,PROJECT_NAME,TSS (mg/L),SC (umho/cm),DOC (mg/L),TP (mg/L),Avg TSS,Avg SC,Avg DOC,Avg TP
LMG-04-0015,Coffee Creek,Mander Road,'040400010403',AB50431,4/5/2022,2022 Reference Sites,3.4,606,4.3,<.05,5,676,4.166666667,<.05
LMG-04-0015,Coffee Creek,Mander Road,'040400010403',AB50789,5/10/2022,2022 Reference Sites,5.8,653,4.7,<.05,,,,
LMG-04-0015,Coffee Creek,Mander Road,'040400010403',AB51315,7/12/2022,2022 Reference Sites,,701,,,,,,
LMG-04-0015,Coffee Creek,Mander Road,'040400010403',AB51716,9/27/2022,2022 Reference Sites,,712,,,,,,
LMG-04-0015,Coffee Creek,Mander Road,'040400010403',AB52445,10/12/2022,2022 Reference Sites,5.8,708,3.5,<.05,,,,
LMG-04-0042,East Branch Little Calumet River,Holmesville Road,'040400010401',AB50432,4/5/2022,2022 Reference Sites,4.7,631,3.8,<.05,3.766666667,634.4,4.3,#DIV/0!
LMG-04-0042,East Branch Little Calumet River,Holmesville Road,'040400010401',AB50790,5/10/2022,2022 Reference Sites,2.6,611,4.8,<.05,,,,
LMG-04-0042,East Branch Little Calumet River,Holmesville Road,'040400010401',AB51317,6/15/2022,2022 Reference Sites,,630,,,,,,
LMG-04-0042,East Branch Little Calumet River,Holmesville Road,'040400010401',AB51718,9/27/2022,2022 Reference Sites,,642,,,,,,
LMG-04-0042,East Branch Little Calumet River,Holmesville Road,'040400010401',AB52446,10/11/2022,2022 Reference Sites,4,658,4.3,<.05,,,,
OBS090-0005,Indian Creek,Brigetta Drive,'051401040403',AB50417,3/29/2022,2022 Reference Sites,1.25,374.2,1.3,<.05,2.85,390.02,1.8,#DIV/0!
OBS090-0005,Indian Creek,Brigetta Drive,'051401040403',AB50536,9/13/2022,2022 Reference Sites,,383.3,,,,,,
OBS090-0005,Indian Creek,Brigetta Drive,'051401040403',AB50621,5/3/2022,2022 Reference Sites,2.6,372.2,1.5,<.05,,,,
OBS090-0005,Indian Creek,Brigetta Drive,'051401040403',AB51708,9/14/2022,2022 Reference Sites,,391,,,,,,
OBS090-0005,Indian Creek,Brigetta Drive,'051401040403',AB52517,9/20/2022,2022 Reference Sites,4.7,429.4,2.6,<.05,,,,
OBS090-0007,Indian Creek,Pleasant Valley Road,'051401040401',AB50415,3/30/2022,2022 Reference Sites,1.25,351.1,1.2,<.05,3.316666667,407.78,1.766666667,#DIV/0!
OBS090-0007,Indian Creek,Pleasant Valley Road,'051401040401',AB50534,8/30/2022,2022 Reference Sites,,433.3,,,,,,
OBS090-0007,Indian Creek,Pleasant Valley Road,'051401040401',AB50619,5/3/2022,2022 Reference Sites,4.7,344.1,1.6,<.05,,,,
OBS090-0007,Indian Creek,Pleasant Valley Road,'051401040401',AB51710,9/20/2022,2022 Reference Sites,,454.9,,,,,,
OBS090-0007,Indian Creek,Pleasant Valley Road,'051401040401',AB52519,9/20/2022,2022 Reference Sites,4,455.5,2.5,<.05,,,,
OBS090-0008,Indian Creek,SR 335,'051401040403',AB50416,3/29/2022,2022 Reference Sites,1.25,366.2,1.3,<.05,2.85,405.2,1.833333333,#DIV/0!
OBS090-0008,Indian Creek,SR 335,'051401040403',AB50535,8/30/2022,2022 Reference Sites,,430.4,,,,,,
OBS090-0008,Indian Creek,SR 335,'051401040403',AB50620,5/3/2022,2022 Reference Sites,4,367.2,1.5,<.05,,,,
OBS090-0008,Indian Creek,SR 335,'051401040403',AB51709,9/20/2022,2022 Reference Sites,,432.1,,,,,,
OBS090-0008,Indian Creek,SR 335,'051401040403',AB52518,9/19/2022,2022 Reference Sites,3.3,430.1,2.7,<.05,,,,
OBS140-0007,Blue River,Clarks Ford Road,'051401040805',AB50410,3/28/2022,2022 Reference Sites,1.25,371.8,1.3,<.05,2.033333333,396.28,1.8,0.056
OBS140-0007,Blue River,Clarks Ford Road,'051401040805',AB50529,9/12/2022,2022 Reference Sites,,393.3,,,,,,
OBS140-0007,Blue River,Clarks Ford Road,'051401040805',AB50614,5/2/2022,2022 Reference Sites,1.25,368,1.4,<.05,,,,
OBS140-0007,Blue River,Clarks Ford Road,'051401040805',AB51712,7/13/2022,2022 Reference Sites,,387,,,,,,
OBS140-0007,Blue River,Clarks Ford Road,'051401040805',AB52521,9/27/2022,2022 Reference Sites,3.6,461.3,2.7,0.056,,,,
OBS140-0010,Blue River,Walk Bottom Road,'051401040805',AB50409,3/28/2022,2022 Reference Sites,1.25,371.8,1.3,<.05,1.8,428.26,1.7,0.055
OBS140-0010,Blue River,Walk Bottom Road,'051401040805',AB50528,8/29/2022,2022 Reference Sites,,492.3,,,,,,
OBS140-0010,Blue River,Walk Bottom Road,'051401040805',AB50613,5/2/2022,2022 Reference Sites,1.25,373.3,1.4,<.05,,,,
OBS140-0010,Blue River,Walk Bottom Road,'051401040805',AB51713,7/13/2022,2022 Reference Sites,,401.9,,,,,,
OBS140-0010,Blue River,Walk Bottom Road,'051401040805',AB52522,9/27/2022,2022 Reference Sites,2.9,502,2.4,0.055,,,,
OBS150-0024,Blue River,Harrison Spring Road,'051401040905',AB50412,3/29/2022,2022 Reference Sites,3.5,367.3,1.4,<.05,4.666666667,410.9,1.9,#DIV/0!
