ACTIVITY_RID,EVENT_NUM,METRIC_NAME,METRIC_VALUE
10135714,17N026,CARNIVORE_PERCENT,3.94
10129833,16R048,CARNIVORE_PERCENT,2.73
10135708,17N018,CARNIVORE_PERCENT,9.09
10129889,16025,CARNIVORE_PERCENT,4.76
10135718,17N030,CARNIVORE_PERCENT,0.23
10097984,15035.5,CARNIVORE_PERCENT,1.6
10096726,15R011,CARNIVORE_PERCENT,0
10096758,15R021,CARNIVORE_PERCENT,1.83
10085834,13017,CARNIVORE_PERCENT,14.84
10135154,17049,CARNIVORE_PERCENT,8.57
10135712,17N023,CARNIVORE_PERCENT,0.55
10135717,17N029,CARNIVORE_PERCENT,2.94
10129973,16W007,CARNIVORE_PERCENT,21.43
10129884,16021,CARNIVORE_PERCENT,4.85
10135155,17048,CARNIVORE_PERCENT,7.98
10097542,15035,CARNIVORE_PERCENT,11.76
10085287,13T018,CARNIVORE_PERCENT,4.72
10135146,17040,CARNIVORE_PERCENT,0
10129883,16042,CARNIVORE_PERCENT,2.54
10129894,16040,CARNIVORE_PERCENT,3.38
10080571,12T022,CARNIVORE_PERCENT,9.52
10081812,12021,CARNIVORE_PERCENT,16.67
10129840,16R043,CARNIVORE_PERCENT,5.93
10092792,14W003,CARNIVORE_PERCENT,2.25
10135129,17017,CARNIVORE_PERCENT,29.59
10097646,15013,CARNIVORE_PERCENT,4.66
10081830,12045,CARNIVORE_PERCENT,9.31
10135715,17N027,CARNIVORE_PERCENT,0
10135133,17024,CARNIVORE_PERCENT,3.9
10129860,16035,CARNIVORE_PERCENT,14.74
10083178,12007.5,CARNIVORE_PERCENT,3.87
10135152,17030,CARNIVORE_PERCENT,21.74
10135705,17N014,CARNIVORE_PERCENT,22.86
10135716,17N028,CARNIVORE_PERCENT,3.95
10097647,15025,CARNIVORE_PERCENT,2.57
10081891,12T051,CARNIVORE_PERCENT,6.17
10135699,17N008,CARNIVORE_PERCENT,2.12
10129892,16022,CARNIVORE_PERCENT,1.61
10102121,16T023,CARNIVORE_PERCENT,10.11
10091364,14029,CARNIVORE_PERCENT,14.58
10096843,15T008,CARNIVORE_PERCENT,4.5
10097644,15006,CARNIVORE_PERCENT,8.13
10097643,15005,CARNIVORE_PERCENT,0.62
10085864,13056,CARNIVORE_PERCENT,11.76
10129863,16043,CARNIVORE_PERCENT,8.82
10129847,16R034,CARNIVORE_PERCENT,3.56
10135125,17002,CARNIVORE_PERCENT,26.56
10129851,16R038,CARNIVORE_PERCENT,11.19
10085867,13060,CARNIVORE_PERCENT,16.67
10102122,16T024,CARNIVORE_PERCENT,23.46
10096728,15R009,CARNIVORE_PERCENT,0.91
10081842,12058,CARNIVORE_PERCENT,1.13
10097659,15033,CARNIVORE_PERCENT,0.43
10135123,17005,CARNIVORE_PERCENT,49.25
10081903,12T063,CARNIVORE_PERCENT,1.16
10097650,15009,CARNIVORE_PERCENT,3.46
10135157,17046,CARNIVORE_PERCENT,8.6
10135709,17N019,CARNIVORE_PERCENT,5.93
10135153,17037,CARNIVORE_PERCENT,26.67
10081892,12T052,CARNIVORE_PERCENT,6.98
10085871,13009,CARNIVORE_PERCENT,7.8
10135158,17045,CARNIVORE_PERCENT,5.56
10135137,17018,CARNIVORE_PERCENT,1.94
10085840,13025,CARNIVORE_PERCENT,14.08
10135126,17001,CARNIVORE_PERCENT,14.14
10135719,17N032,CARNIVORE_PERCENT,10
10138325,17N026.5,CARNIVORE_PERCENT,2.04
10096819,15T017,CARNIVORE_PERCENT,0
10091356,14016,CARNIVORE_PERCENT,2.34
10092104,14T010,CARNIVORE_PERCENT,4.96
10129877,16030,CARNIVORE_PERCENT,6.84
10092090,14T006,CARNIVORE_PERCENT,4.65
10129853,16001,CARNIVORE_PERCENT,6.42
10092095,14T016,CARNIVORE_PERCENT,1.73
10129893,16026,CARNIVORE_PERCENT,1.35
10096751,15R013,CARNIVORE_PERCENT,0.66
10102109,16T011,CARNIVORE_PERCENT,17.88
10135706,17N015,CARNIVORE_PERCENT,9.95
10097537,15027,CARNIVORE_PERCENT,3.11
10135124,17003,CARNIVORE_PERCENT,0.62
10085852,13006,CARNIVORE_PERCENT,0
10135136,17020,CARNIVORE_PERCENT,17.11
10085349,13W007,CARNIVORE_PERCENT,10.08
10081821,12033,CARNIVORE_PERCENT,14.55
10102110,16T012,CARNIVORE_PERCENT,34.4
10081813,12023,CARNIVORE_PERCENT,3.96
10102112,16T014,CARNIVORE_PERCENT,0.32
10135703,17N012,CARNIVORE_PERCENT,4.48
10129887,16050,CARNIVORE_PERCENT,5.76
10102124,16T026,CARNIVORE_PERCENT,7.89
10135710,17N021,CARNIVORE_PERCENT,0.77
10096725,15R012,CARNIVORE_PERCENT,2
10129866,16048,CARNIVORE_PERCENT,12.66
10102117,16T019,CARNIVORE_PERCENT,5.38
10135693,17N001,CARNIVORE_PERCENT,5.52
10129886,16053,CARNIVORE_PERCENT,12.9
10102115,16T017,CARNIVORE_PERCENT,3.26
10097654,15044,CARNIVORE_PERCENT,29.38
10081896,12T056,CARNIVORE_PERCENT,2.56
10135694,17N003,CARNIVORE_PERCENT,0.47
10129890,16002,CARNIVORE_PERCENT,20
10091371,14049,CARNIVORE_PERCENT,2.7
10129876,16018,CARNIVORE_PERCENT,10
10097651,15039,CARNIVORE_PERCENT,7.61
10129858,16028,CARNIVORE_PERCENT,20.36
10091365,14041,CARNIVORE_PERCENT,9.88
10135149,17035,CARNIVORE_PERCENT,11.06
10135704,17N013,CARNIVORE_PERCENT,1.2
10096756,15R023,CARNIVORE_PERCENT,1.56
10138327,17N018.5,CARNIVORE_PERCENT,4.99
10135702,17N011,CARNIVORE_PERCENT,1.67
10102106,16T008,CARNIVORE_PERCENT,22.4
10135700,17N009,CARNIVORE_PERCENT,2.55
10129839,16R044,CARNIVORE_PERCENT,2.18
10135138,17016,CARNIVORE_PERCENT,15.25
10135128,17008,CARNIVORE_PERCENT,9.68
10135696,17N005,CARNIVORE_PERCENT,4.37
10138326,17N021.5,CARNIVORE_PERCENT,0.68
10091372,14018,CARNIVORE_PERCENT,3.23
10102126,16T028,CARNIVORE_PERCENT,6.59
10129864,16044,CARNIVORE_PERCENT,13.4
10080580,12T010,CARNIVORE_PERCENT,7.89
10096781,15W005,CARNIVORE_PERCENT,0.11
10129869,16052,CARNIVORE_PERCENT,29.85
10136894,17024.5,CARNIVORE_PERCENT,4.94
10092677,14T110,CARNIVORE_PERCENT,1.83
10091362,14025,CARNIVORE_PERCENT,12.14
10081902,12T062,CARNIVORE_PERCENT,6.58
10092121,14T022,CARNIVORE_PERCENT,8.86
10092653,14T126,CARNIVORE_PERCENT,9
10080584,12T006,CARNIVORE_PERCENT,3.86
10097533,15007,CARNIVORE_PERCENT,5.66
10080578,12T012,CARNIVORE_PERCENT,2.5
10096813,15T011,CARNIVORE_PERCENT,1.77
10080570,12T023,CARNIVORE_PERCENT,0
10080560,12T044,CARNIVORE_PERCENT,0
10081828,12043,CARNIVORE_PERCENT,11.38
10135148,17038,CARNIVORE_PERCENT,17.39
10081815,12025,CARNIVORE_PERCENT,3.47
10097539,15018,CARNIVORE_PERCENT,10.5
10085277,13T008,CARNIVORE_PERCENT,14.71
10081808,12015,CARNIVORE_PERCENT,0.89
10081806,12011,CARNIVORE_PERCENT,0
10085274,13T005,CARNIVORE_PERCENT,9.09
10085351,13W005,CARNIVORE_PERCENT,20.34
10085854,13042,CARNIVORE_PERCENT,2.63
10135139,17014,CARNIVORE_PERCENT,16.14
10092113,14T025,CARNIVORE_PERCENT,15.79
10085849,13035,CARNIVORE_PERCENT,3.08
10085272,13T002,CARNIVORE_PERCENT,0
10096732,15R005,CARNIVORE_PERCENT,2.14
10092793,14W004,CARNIVORE_PERCENT,12.5
10085304,13T036,CARNIVORE_PERCENT,12
10081810,12017,CARNIVORE_PERCENT,12.12
10097648,15038,CARNIVORE_PERCENT,9.07
10097545,15052,CARNIVORE_PERCENT,23.82
10080561,12T043,CARNIVORE_PERCENT,0
10092665,14T125,CARNIVORE_PERCENT,7.64
10081833,12048,CARNIVORE_PERCENT,3.07
10081822,12035,CARNIVORE_PERCENT,0
10085276,13T007,CARNIVORE_PERCENT,20
10129968,16W102,CARNIVORE_PERCENT,1.66
10085442,13T009.5,CARNIVORE_PERCENT,6.45
10080547,12T038,CARNIVORE_PERCENT,1.49
10102100,16T001,CARNIVORE_PERCENT,6.56
10129870,16055,CARNIVORE_PERCENT,0.78
10080548,12T036,CARNIVORE_PERCENT,9.09
10081825,12039,CARNIVORE_PERCENT,0.86
10081824,12038,CARNIVORE_PERCENT,0.71
10085872,13011,CARNIVORE_PERCENT,2.82
10080544,12T037,CARNIVORE_PERCENT,10.34
10135720,17N036,CARNIVORE_PERCENT,5.79
10092795,14W001,CARNIVORE_PERCENT,2.04
10135147,17039,CARNIVORE_PERCENT,1.67
10085348,13W004,CARNIVORE_PERCENT,18.58
10080582,12T008,CARNIVORE_PERCENT,0
10080579,12T011,CARNIVORE_PERCENT,6.38
10080541,12T003,CARNIVORE_PERCENT,40.48
10092794,14W002,CARNIVORE_PERCENT,0
10080583,12T007,CARNIVORE_PERCENT,0
10080546,12T039,CARNIVORE_PERCENT,0
10080581,12T009,CARNIVORE_PERCENT,11.38
