PROJECT_RID,LSite,REF_MACRO_SAMPLE_TYPE.MACRO_SAMPLE_TYPE_NAME,ACTIVITY_NO,SAMPLE_NO,Stream,Date,TAXA_COUNT,INDIVIDUALS_COUNT,EPT_INDEX,PCT_ORTHOCLADIINAE_TANYTARSINI,PCT_NONINSECT_NO_ASTACIDAE,DIPTERA_TAXA,PCT_INTOLERANT,PCT_TOLERANT,PCT_PREDATORS_FFG_1,PCT_SHREDDERS_SCRAPPERS_FFG_1,PCT_COLLECTOR_FILTERERS_FFG_1,PCT_SPRAWLERS,12-Digit HUC
694,WWU150-0018,MHAB,AA24072,040908101,East Fork White Lick Creek,08-Sep-04,36,114,8,16.22,11.4,10,21.93,1.75,14.04,5.26,9.65,1.75,051202011309
694,WWE020-0010,MHAB,AA24063,040909101,Plum Creek,09-Sep-04,52,175,8,54.05,9.14,24,21.14,5.71,32.57,12,13.14,3.43,051202030403
694,WWE020-0008,MHAB,AA24062,040909103,Big Walnut Creek,09-Sep-04,45,145,17,52.78,0.69,20,21.38,0.69,17.93,6.21,20.69,1.38,051202030403
694,WWU160-0013,MHAB,AA24073,040913101,Lambs Creek,13-Sep-04,41,122,11,66.67,9.02,8,29.51,4.1,32.79,2.46,18.85,0,051202011502
694,WWL020-0024,MHAB,AA24840,040913104,Little Mill Creek,13-Sep-04,28,51,5,20,5.88,7,21.57,1.96,17.65,7.84,5.88,0,051202020201
694,WBU160-0185,MHAB,AA24835,040914102,Sulphur Creek,14-Sep-04,18,79,1,0,0,3,0,5.06,49.37,1.27,1.27,0,051201111505
694,WWE090-0005,MHAB,AA24839,040914104,Wabash and Erie Canal,14-Sep-04,33,100,2,33.33,14,5,8,8,50,16,2,0,051202030809
694,WWL060-0010,MHAB,AA24066,040914105,Buck Creek,14-Sep-04,34,183,8,33.33,8.74,6,18.58,10.38,31.15,6.01,5.46,0,051202020602
694,WBU200-0005,MHAB,AA24029,040915101,Snapp Creek,15-Sep-04,23,67,5,37.5,16.42,7,41.79,13.43,2.99,2.99,23.88,0,051201111902
694,WBU200-0006,MHAB,AA24030,040915103,Smalls Creek,15-Sep-04,53,220,8,10.53,9.09,17,18.18,13.18,38.18,7.27,19.09,2.27,051201111901
