LSite,Date,Stream,12-Digit HUC,14-Digit HUC,LATITUDE_MEASURE,LONGITUDE_MEASURE,TAXA_COUNT
GMW040-0012,25-Oct-04,Whitewater River,050800030408,05080003040090,39.57333333,-85.15638889,53
GMW050-0006,25-Oct-04,Little Salt Creek,050800030504,05080003050070,39.43699493,-85.19554795,38
LEJ050-0011,22-Sep-04,Fish Creek,041000030406,04100003050060,41.46378362,-84.81123672,27
LEJ080-0011,22-Sep-04,Cedar Creek,041000030602,04100003080030,41.43972222,-85.03888889,32
OSK030-0009,25-Oct-04,West Fork Indian Kentuck Creek,051401010204,05140101030080,38.78861111,-85.28305556,33
UMC030-0012,30-Sep-04,Little Calumet River,071200030305,07120003030060,41.57055556,-87.50611111,15
UMK030-0017,29-Sep-04,Travis Ditch,071200010403,07120001030060,41.51819444,-86.68333333,34
UMK060-0018,29-Sep-04,Yellow River,071200010506,07120001060100,41.30277778,-86.62083333,41
WAW020-0072,06-Oct-04,Wildcat Creek,051201070408,05120107020090,40.46444444,-86.63694444,59
WAW020-0074,06-Oct-04,Wildcat Creek,051201070407,05120107020080,40.48277778,-86.51194444,51
WBU200-0005,15-Sep-04,Snapp Creek,051201111902,05120111200020,38.70111111,-87.49916667,23
WBU200-0006,15-Sep-04,Smalls Creek,051201111901,05120111200010,38.75166667,-87.48777778,53
WDE050-0011,05-Oct-04,Deer Creek,051201050508,05120105050120,40.57444444,-86.68305556,46
WDE050-0012,05-Oct-04,Deer Creek,051201050508,05120105050120,40.58611111,-86.66888889,55
WDE050-0014,06-Oct-04,Little Deer Creek,051201050503,05120105050060,40.59,-86.46777778,65
WED010-0011,21-Oct-04,Big Blue River,051202040106,05120204010050,39.87388889,-85.43888889,24
WED030-0008,21-Oct-04,Little Blue River,051202040203,05120204030030,39.655,-85.57083333,41
WED040-0003,21-Oct-04,Brandywine Creek,051202040303,05120204040060,39.68694444,-85.77388889,64
WED090-0008,15-Nov-04,Sugar Creek,051202040705,05120204090080,39.38111111,-86.00583333,52
WEF050-0006,21-Oct-04,Lewis Creek,051202050503,05120205050140,39.36361111,-85.85805556,60
WEL030-0004,15-Nov-04,Guthrie Creek,051202080202,05120208030010,38.80222222,-86.29527778,37
WEL090-0009,27-Oct-04,Pleasant Run Creek,051202080806,05120208090090,38.90027778,-86.46944444,22
WEL090-0013,27-Oct-04,Henderson Creek,051202080804,05120208090060,38.96203016,-86.36797871,21
WEL090-0015,27-Oct-04,Wolf Creek,051202080806,05120208090040,38.97641779,-86.47784646,14
WEM060-0003,26-Oct-04,Otter Creek,051202070303,05120207060050,38.98888889,-85.57527778,29
WLV060-0005,13-Oct-04,Big Pine Creek,051201080410,05120108060030,40.30388889,-87.26305556,41
WMI030-0004,20-Oct-04,Mississinewa River,051201030402,05120103030020,40.291757,-85.312849,44
WSU020-0009,12-Oct-04,Sugar Creek,051201100406,05120110020070,40.10777778,-86.79388889,58
WTI080-0003,27-Sep-04,Tippecanoe River,051201060903,05120106080040,40.97277778,-86.65972222,42
WWE020-0008,09-Sep-04,Big Walnut Creek,051202030403,05120203020030,39.70305556,-86.79,45
WWE020-0010,09-Sep-04,Plum Creek,051202030403,05120203020030,39.7321372,-86.76763283,52
WWL060-0010,14-Sep-04,Buck Creek,051202020602,05120202060030,39.03805556,-87.10875,34
WWU010-0015,20-Oct-04,West Fork White River,051202010109,05120201010090,40.165848,-85.184732,44
WWU050-0010,20-Oct-04,Pipe Creek,051202010405,05120201050060,40.26305556,-85.7,20
WWU150-0018,08-Sep-04,East Fork White Lick Creek,051202011309,05120201150160,39.64634222,-86.34658972,36
WWU160-0013,13-Sep-04,Lambs Creek,051202011502,05120201160050,39.46944444,-86.50638889,41
WBU160-0185,14-Sep-04,Sulphur Creek,051201111505,05120111160040,39.18694444,-87.27083333,18
WBU190-0002,15-Sep-04,Maria Creek,051201111801,05120111190010,38.88172725,-87.3466803,16
WWE090-0005,14-Sep-04,Wabash and Erie Canal,051202030809,05120203090080,39.19833333,-87.13583333,33
WWL020-0024,13-Sep-04,Little Mill Creek,051202020201,05120202020020,39.35888889,-86.76388889,28
LMJ090-0008,22-Sep-04,Eaton Creek,040500010801,04050001090020,41.71888889,-84.97166667,33
WAE040-0005,23-Sep-04,Eel River,051201040407,05120104040080,40.99388889,-85.78194444,29
WUW040-0002,21-Sep-04,Wabash River,051201010502,05120101040020,40.56805556,-84.84861111,31
WUW090-0004,21-Sep-04,Wabash River,051201011303,05120101090020,40.84611111,-85.47111111,20
WUW110-0004,22-Sep-04,Eightmile Creek,051201010904,05120101110050,40.91472222,-85.31916667,22
LMJ200-0016,28-Sep-04,Dausman Ditch,040500011708,04050001200090,41.48666667,-85.84944444,14
LMJ230-0006,28-Sep-04,Baugo Creek,040500012103,04050001230030,41.59416667,-86.03,14
LMJ240-0022,28-Sep-04,Willow Creek,040500012204,04050001240020,41.68777778,-86.13333333,10
UMI050-0017,30-Sep-04,Bonham Ditch,071200020506,07120002050080,40.78055556,-87.50472222,24
UMK100-0005,29-Sep-04,Schatzley Ditch,071200010903,07120001100030,41.1875,-87.12833333,18
WTI050-0006,28-Sep-04,Mill Creek,051201060502,05120106050030,41.09166667,-86.23138889,22
WTI060-0013,29-Sep-04,House Ditch,051201060602,05120106060050,41.17902778,-86.54055556,23
WTI080-0004,27-Sep-04,Mud Creek,051201060902,05120106080030,40.98361111,-86.6475,19
WAW020-0043,06-Oct-04,Wildcat Creek,051201070409,05120107020100,40.45472222,-86.73305556,48
WDE050-0013,13-Oct-04,Deer Creek,051201050508,05120105050110,40.59053928,-86.62146359,31
WLV050-0005,12-Oct-04,Mud Pine Creek,051201080304,05120108050040,40.44,-87.35833333,45
WTI120-0005,13-Oct-04,Honey Creek,051201061207,05120106120110,40.78472222,-86.79416667,36
WWU070-0002,14-Oct-04,Stony Creek,051202010704,05120201070070,40.02888889,-85.995,38
OSK030-0012,26-Oct-04,Indian Kentuck Creek,051401010205,05140101030040,38.83916667,-85.26027778,21
WEM050-0005,26-Oct-04,Leatherwood Creek,051202070402,05120207050060,39.1175,-85.4725,39
