STATION_NAME,PROJECT_NAME,Conductance (uS/cm),ln(Conductance),cond_ref,cond_test
GML070-0004,2007 Corvallis,606,6.406879986,6.260980054,6.276115771
GML070-0004,2007 Corvallis,616,6.423246964,6.260980054,6.276115771
GML070-0004,2007 Corvallis,537,6.285998095,6.260980054,6.276115771
GML070-0004,2007 Corvallis,436,6.077642243,6.260980054,6.276115771
GML080-0002,2007 Corvallis,690,6.536691598,6.257593246,6.370562527
GML080-0002,2007 Corvallis,675,6.514712691,6.257593246,6.370562527
GML080-0002,2007 Corvallis,839,6.732210706,6.257593246,6.370562527
GML080-0002,2007 Corvallis,831,6.722629795,6.257593246,6.370562527
GML080-0002,2007 Corvallis,705,6.558197803,6.257593246,6.370562527
GMU110-0004,2007 Corvallis,700,6.551080335,6.381996276,6.31564337
GMU110-0004,2007 Corvallis,724,6.584791392,6.381996276,6.31564337
GMU110-0004,2007 Corvallis,2140,7.668561108,6.381996276,6.31564337
GMU110-0004,2007 Corvallis,1590,7.371489295,6.381996276,6.31564337
GMU110-0004,2007 Corvallis,661,6.49375384,6.381996276,6.31564337
GMW-01-0003,2014 Corvallis,599,6.395261598,6.336437102,6.401304619
GMW-01-0003,2014 Corvallis,628,6.442540166,6.336437102,6.401304619
GMW-01-0003,2014 Corvallis,599,6.395261598,6.336437102,6.401304619
GMW-01-0003,2014 Corvallis,670,6.507277712,6.336437102,6.401304619
GMW-01-0003,2014 Corvallis,622,6.432940093,6.336437102,6.401304619
GMW-01-0003,2014 Corvallis,651.4,6.479123893,6.336437102,6.401304619
GMW-01-0003,2014 Corvallis,663,6.49677499,6.336437102,6.401304619
GMW-01-0003,2014 Corvallis,586,6.37331979,6.336437102,6.401304619
GMW-01-0003,2014 Corvallis,645,6.469250317,6.336437102,6.401304619
GMW-01-0003,2014 Corvallis,641,6.463029457,6.336437102,6.401304619
GMW010-0035,2007 Corvallis,659,6.490723535,6.247613595,6.313590269
GMW010-0035,2007 Corvallis,615,6.421622268,6.247613595,6.313590269
GMW010-0035,2007 Corvallis,634,6.452048954,6.247613595,6.313590269
GMW010-0035,2007 Corvallis,638,6.458338283,6.247613595,6.313590269
GMW010-0035,2007 Corvallis,544,6.298949247,6.247613595,6.313590269
GMW010-0035,2007 Corvallis,5.44,1.693779061,6.247613595,6.313590269
GMW-01-0004,2014 Corvallis,607,6.408528791,6.330816409,6.393096513
GMW-01-0004,2014 Corvallis,632,6.448889394,6.330816409,6.393096513
GMW-01-0004,2014 Corvallis,607,6.408528791,6.330816409,6.393096513
GMW-01-0004,2014 Corvallis,676,6.516193076,6.330816409,6.393096513
GMW-01-0004,2014 Corvallis,638,6.458338283,6.330816409,6.393096513
GMW-01-0004,2014 Corvallis,661,6.49375384,6.330816409,6.393096513
GMW-01-0004,2014 Corvallis,618,6.426488457,6.330816409,6.393096513
GMW-01-0004,2014 Corvallis,404,6.001414878,6.330816409,6.393096513
GMW-01-0004,2014 Corvallis,662,6.495265556,6.330816409,6.393096513
GMW-01-0004,2014 Corvallis,646,6.470799504,6.330816409,6.393096513
GMW010-0041,2007 Corvallis,666,6.501289671,6.286398978,6.317617854
GMW010-0041,2007 Corvallis,655,6.484635236,6.286398978,6.317617854
GMW010-0041,2007 Corvallis,653,6.481577129,6.286398978,6.317617854
