ACTIVITY_NO,EVENT_NUM,STATION_NAME,COUNTY_NAME,WATERBODY_NAME,STATION_DESC,COMMON_NAME,FISH_COUNT,TOTAL WEIGHT (grams),MINIMUM LENGTH (millimeters),MAXIMUM LENGTH (millimeters),MUSEUM_FISH_COUNT,DEFORMITY_COUNT,FIN_EROSION_COUNT,LESION_COUNT,TUMOR_COUNT,MULTI_ANOMALY_COUNT,ANCHOR_WORMS_COUNT,LEECHES_COUNT,SWIRLED_SCALES_COUNT,POP_EYE_COUNT,EMACIATED_COUNT,FUNGUS_COUNT,PARASITES_COUNT
AB08426,12001,WPA-07-0001,Pike,Rough Creek,CR 925 S,Blackstripe Topminnow,4,5,32,65,0,,,,,,,,,,,,
AB08426,12001,WPA-07-0001,Pike,Rough Creek,CR 925 S,Bluegill,4,60,86,90,0,,,,,,,,,,,,
AB08426,12001,WPA-07-0001,Pike,Rough Creek,CR 925 S,Green Sunfish,3,130,76,134,0,,,,,,,,,,,,
AB08426,12001,WPA-07-0001,Pike,Rough Creek,CR 925 S,Longear Sunfish,5,200,57,165,0,,,,,,,,,,,,
AB08426,12001,WPA-07-0001,Pike,Rough Creek,CR 925 S,Redfin Pickerel,1,120,257,257,0,,,,,,,,,,,,
AB08426,12001,WPA-07-0001,Pike,Rough Creek,CR 925 S,Redspotted Sunfish,3,83,90,120,3,,,,,,,,,,,,
AB08426,12001,WPA-07-0001,Pike,Rough Creek,CR 925 S,Warmouth,2,20,73,85,0,,,,,,,,,,,,
AB08426,12001,WPA-07-0001,Pike,Rough Creek,CR 925 S,Yellow Bullhead,4,160,88,165,0,,,,,,,,,,,,
AB09762,12001.5,WPA-07-0001,Pike,Rough Creek,CR 925 S,Blackstripe Topminnow,6,10,45,59,0,,,,,,,,,,,,
AB09762,12001.5,WPA-07-0001,Pike,Rough Creek,CR 925 S,Bluegill,10,230,98,123,0,,,,,,,,,,,,
AB09762,12001.5,WPA-07-0001,Pike,Rough Creek,CR 925 S,Longear Sunfish,15,320,65,140,0,,,,,,,,,,,,
AB09762,12001.5,WPA-07-0001,Pike,Rough Creek,CR 925 S,Yellow Bullhead,1,40,145,145,0,,,,,,,,,,,,
AB08427,12002,WPA-06-0003,Pike,Patoka River,Meridian Road,Bigmouth Buffalo,6,8620,210,640,0,,,,,,,,,,,,
AB08427,12002,WPA-06-0003,Pike,Patoka River,Meridian Road,Blackside Darter,1,3,64,64,1,,,,,,,,,,,,
