LSite,Avg TSS,Scaled TSS,tss.result_ref,Avg SC,Scaled SC,cond_ref,safn.obs,pct.safn_ref,
LMG-04-0015,5,1.609437912,2.057956945,676,6.516193076,6.08724453,100,64.28556279,35.714437
LMG-04-0042,3.766666667,1.326190437,1.76020152,634.4,6.45267967,6.022258303,50,77.23215124,-27.232151
OBS090-0005,2.85,1.047318994,1.955724307,390.02,5.96619802,6.007361014,5,35.0564471,-30.056447
OBS090-0007,3.316666667,1.198960263,1.988015659,407.78,6.010727813,6.010105763,20,29.02284193,-9.022842
OBS090-0008,2.85,1.047318994,2.003160209,405.2,6.004380772,6.002975527,0,31.25155691,-31.251557
OBS140-0007,2.033333333,0.709676483,1.966459149,396.28,5.982121032,5.983188948,30,35.73880701,-5.738807
OBS140-0010,1.8,0.587786665,1.954149662,428.26,6.059730488,5.972802214,20,36.15305688,-16.153057
OBS150-0024,4.666666667,1.540445041,1.906955599,410.9,6.018349876,5.992231981,20,36.34687233,-16.346872
OBS150-0025,3.65,1.294727168,1.873165457,417.48,6.034236639,5.930490242,40,36.09540532,3.904595
OBS150-0027,2.25,0.810930216,1.950333694,390.8,5.96819592,5.914956703,10,35.54974512,-25.549745
OBS180-0019,9.366666667,2.237157288,1.305293603,486.96,6.188181984,5.855592476,10,26.60914735,-16.609147
OSK070-0018,1.25,0.223143551,2.080939314,374.78,5.926339187,5.981349439,20,41.47468794,-21.474688
OSK140-0043,1.25,0.223143551,2.452930958,264.26,5.576933467,5.53929388,40,47.17557775,-7.175578
UMI020-0019,6.383333333,1.853690427,1.775523415,601.8,6.399925164,6.293137918,45,NA,
UMK130-0072,15.46666667,2.738687171,2.582922429,640.28,6.461905581,6.262047751,70,NA,
WAE020-0032,5.733333333,1.746297095,2.319608904,768.2,6.644050116,6.378392194,50,58.98890681,-8.988907
WAE020-0038,5.1,1.62924054,2.463538498,595,6.388561406,6.3550313,50,58.61704372,-8.617044
WAE020-0041,13.16666667,2.577688383,2.433060836,682.4,6.525615996,6.365689286,80,61.51631246,18.483688
WAE030-0039,2.916666667,1.070441412,2.613516701,633.6,6.451417841,6.376295456,70,57.87632005,12.123680
WAE030-0042,1.7,0.530628251,2.407383023,540.86,6.293160465,6.377537205,30,64.70163341,-34.701633
WAE070-0020,2.516666667,0.922935275,2.093687703,646.6,6.471727865,6.368522856,20,65.44714199,-45.447142
WMI050-0020,20.21666667,3.006507347,2.800036385,659.2,6.491026979,6.42309257,70,58.47059226,11.529408
WPA010-0034,11.5,2.442347035,1.761981756,295.18,5.68758534,5.943335084,20,33.65084336,-13.650843
WTI060-0037,5.216666667,1.651858628,1.858130672,595.2,6.388897484,6.35300328,30,77.09436432,-47.094364
WUW-14-0001,2.416666667,0.88238918,2.792017782,574.2,6.352977768,6.38770254,50,56.23121664,-6.231217
WED-02-0005,5.966666667,1.786188,2.546051,543.5,6.298030,6.304679,60,64.71373728,-4.713737
WED-03-0004,2.983333333,1.093041,2.381388,658.6,6.490116,6.265318,40,56.71367766,-16.713678
WED-04-0004,8.1,2.091864,2.589696,587.4,6.375706,6.299064,50,57.2918784,-7.291878
WED-05-0004,7.233333333,1.978700,2.402461,617,6.424869,6.164490,80,56.74175722,23.258243
WED-06-0007,4.25,1.446919,2.471069,768.4,6.644310,6.204824,80,58.69689632,21.303104
WED-07-0004,4.266666667,1.450833,2.685057,578.3,6.360093,6.306656,100,68.82376261,31.176237
WED-07-0005,3.666666667,1.299283,2.505566,585.9,6.373149,6.251671,50,61.02427691,-11.024277
WED-08-0006,5.116666667,1.632503,2.541301,579.4,6.361993,6.186942,30,59.965148,-29.965148
WED-09-0003,4.3,1.458615,1.976283,355.2,5.872681,5.985132,50,35.58935394,14.410646
WEF-03-0003,2.65,0.974560,2.571276,584.6,6.370928,6.263679,65,58.28946406,6.710536
WEF-06-0005,14.06666667,2.643808,2.601724,593.1,6.385363,6.227492,80,62.57980413,17.420196
WEF-06-0006,8.9,2.186051,2.493462,528.2,6.269475,6.276307,10,58.55403161,-48.554032
WEL-02-0003,12.65,2.537657,1.897092,167.8,5.122773,5.930621,10,28.86945999,-18.869460
WEL-04-0005,12.86666667,2.554640,1.440633,171.3,5.143416,5.994876,30,29.84282584,0.157174
WEL-05-0002,12.1,2.493205,1.325569,151.87,5.023025,5.995612,0,29.62950953,-29.629510
WEL-06-0026,11.93333333,2.479336,1.493592,220.44,5.395626,5.983033,0,29.28321675,-29.283217
WEL-06-0030,14.36666667,2.664911,1.429820,187.32,5.232818,6.004383,0,29.64500734,-29.645007
WEL-09-0005,15.23333333,2.723486,1.186515,338.91,5.825735,5.967977,10,27.82193469,-17.821935
WEL-09-0006,11.16666667,2.412933,1.113907,345.74,5.845687,5.989785,20,28.96646251,-8.966463
WEL-10-0004,36.96666667,3.610017,2.456542,454.3333333,6.118831,6.177157,100,52.48262666,47.517373
WEL-10-0006,2.533333333,0.929536,1.883182,387.75,5.960361,5.935681,0,32.18006092,-32.180061
WEL-13-0033,22.96666667,3.134044,1.661097,422.4777778,6.046137,5.999978,10,36.62300756,-26.623008
WEL-13-0036,21.23333333,3.055572,1.583557,429.72,6.063134,6.018082,40,32.7155553,7.284445
WEL-14-0004,25.16666667,3.225520,2.314704,387.7111111,5.960261,6.160721,80,45.41492247,34.585078
WEM-02-0006,2.383333333,0.868500,1.337863,273.85,5.612581,5.903450,10,38.40094404,-28.400944
WEM-06-0018,4,1.386294,1.828290,287.17,5.660074,5.955048,60,39.43439283,20.565607
WEM-06-0019,5.616666667,1.725738,1.900035,446.88,6.102290,6.049075,30,38.69615202,-8.696152
WEM-07-0026,33.76666667,3.519474,2.334173,362.91,5.894155,5.779716,80,50.75077235,29.249228
WEM-08-0010,41.2,3.718438,2.212060,255.64,5.543770,5.996789,20,40.46531041,-20.465310
WEM-08-0013,15.36666667,2.732201,2.090150,253.26,5.534417,5.987507,40,40.58222379,-0.582224
WEM-09-0018,64.48333333,4.166407,2.304029,289.8333333,5.669306,6.074161,20,40.37930969,-20.379310
WEU-01-0002,4.35,1.470176,1.809692,503.11,6.220809,6.133111,40,40.52682507,-0.526825
WEU-01-0003,5.266666667,1.661398,1.810043,507.68,6.229851,6.139778,20,40.55191439,-20.551914
WEU-02-0003,12.8,2.549445,2.586662,596.3333333,6.390800,6.211140,90,62.26835032,27.731650
WEU-03-0042,2.816666667,1.035554,1.723820,547.43,6.305235,6.033397,70,42.84487274,27.155127
WEU-04-0005,29.41666667,3.381561,1.809614,355.55,5.873666,5.995113,20,34.44758893,-14.447589
WEU-05-0005,20.96666667,3.042934,2.608257,572.7777778,6.350498,6.184856,80,61.52206612,18.477934
WEU-06-0002,27.3,3.306887,2.600331,482.9333333,6.179879,6.166038,90,61.42034049,28.579660
