STATION_NAME,PROJECT_NAME,TSS (mg/l),ACTIVITY_END_DATE
GML070-0004,2007 Corvallis,<10,6/5/2007 14:20
GML070-0004,2007 Corvallis,22,7/18/2007 11:00
GML080-0002,2007 Corvallis,<10,6/5/2007 12:00
GML080-0002,2007 Corvallis,<10,7/18/2007 9:00
GML080-0002,2007 Corvallis,<10,9/18/2007 14:30
GMU110-0004,2007 Corvallis,<10,6/19/2007 8:30
GMU110-0004,2007 Corvallis,32,7/30/2007 13:00
GMU110-0004,2007 Corvallis,19,10/2/2007 13:30
GMW-01-0003,2014 Corvallis,4,5/27/2014 14:15
GMW-01-0003,2014 Corvallis,3,7/7/2014 13:30
GMW-01-0003,2014 Corvallis,<1,9/29/2014 10:30
GMW010-0035,2007 Corvallis,24,6/20/2007 9:00
GMW010-0035,2007 Corvallis,<10,7/31/2007 10:30
GMW010-0035,2007 Corvallis,<10,10/3/2007 9:00
GMW-01-0004,2014 Corvallis,8,5/27/2014 15:30
GMW-01-0004,2014 Corvallis,4,7/7/2014 10:00
GMW-01-0004,2014 Corvallis,1,9/29/2014 12:30
GMW010-0041,2007 Corvallis,<10,6/20/2007 11:30
GMW010-0041,2007 Corvallis,<10,8/1/2007 9:00
GMW010-0041,2007 Corvallis,<10,10/3/2007 11:30
GMW010-0044,2015 Reference Sites,<5,4/27/2015 10:05
GMW010-0044,2015 Reference Sites,6,6/8/2015 10:10
GMW010-0044,2015 Reference Sites,<5,10/5/2015 11:00
GMW010-0044,2021-2022 Coolwater IBI,<2.5,4/18/2022 14:15
GMW010-0044,2021-2022 Coolwater IBI,9.4,7/19/2022 12:30
GMW010-0044,2021-2022 Coolwater IBI,<2.5,10/19/2022 12:15
GMW010-0044,2007 Corvallis,<10,6/18/2007 14:30
GMW010-0044,2007 Corvallis,<10,7/31/2007 15:30
GMW010-0044,2007 Corvallis,<10,10/1/2007 14:30
GMW010-0045,2007 Corvallis,<10,6/4/2007 13:00
GMW010-0045,2007 Corvallis,<10,8/1/2007 11:00
GMW010-0045,2007 Corvallis,<10,10/3/2007 14:30
GMW-01-0005,2014 Corvallis,3,5/19/2014 10:00
GMW-01-0005,2014 Corvallis,6,6/30/2014 12:15
GMW-01-0005,2014 Corvallis,3,10/7/2014 14:50
GMW-01-0006,2014 Corvallis,3,5/19/2014 10:45
GMW-01-0006,2014 Corvallis,10,6/30/2014 13:00
GMW-01-0006,2014 Corvallis,1,10/7/2014 16:30
GMW-02-0001,2014 Corvallis,8,5/19/2014 12:10
GMW-02-0001,2014 Corvallis,5,6/30/2014 13:45
GMW-02-0001,2014 Corvallis,<1,10/7/2014 11:00
GMW-02-0002,2014 Corvallis,5,5/19/2014 14:25
